"id","log2(fc)","PValue","FDR","Symbol","transcDNA_MAX_MAX_gene_id","transcDNA_MAX_MAX_tx_len","transcDNA_MAX_MAX_symbol","transcDNA_mean_MEAN_gene_id","transcDNA_mean_MEAN_avg_len","transcDNA_mean_MEAN_symbol","transcDNA_median_MEDIAN_gene_id","transcDNA_median_MEDIAN_median_len","transcDNA_median_MEDIAN_symbol"
"ENSG00000115221",-1.99419303874524,"2.80751012776383e-50",3.24529454035314e-47,"ITGB6","3694",4641,"ITGB6","3694",2698.66666666667,"ITGB6","3694",2501,"ITGB6"
"ENSG00000185585",-2.00259661655171,"3.45913201222853e-49",3.7486181225019e-46,"OLFML2A","169611",6567,"OLFML2A","169611",4532.66666666667,"OLFML2A","169611",5964,"OLFML2A"
"ENSG00000113387",-1.96321960279779,"5.16600534736324e-49",5.26902157164301e-46,"SUB1","10923",4273,"SUB1","10923",1205.92307692308,"SUB1","10923",636,"SUB1"
"ENSG00000110092",-2.25395528052247,"2.33790960921007e-48",2.25205637300518e-45,"CCND1","595",4238,"CCND1","595",1197.5,"CCND1","595",560.5,"CCND1"
"ENSG00000149591",1.9509365759642,"1.95682064988551e-46",1.78575332886131e-43,"TAGLN","6876",3786,"TAGLN","6876",1734.75,"TAGLN","6876",1352,"TAGLN"
"ENSG00000197903",2.26891814814558,"1.25339169669305e-45",1.08662793144804e-42,"H2BC12","85236",495,"H2BC12","85236",495,"H2BC12","85236",495,"H2BC12"
"ENSG00000164171",-2.00759279841902,"1.54945564333798e-45",1.27933387618272e-42,"ITGA2","3673",7843,"ITGA2","3673",4302.83333333333,"ITGA2","3673",3602,"ITGA2"
"ENSG00000178741",-2.38188751584561,"2.21313063488935e-45",1.74424873083393e-42,"COX5A","9377",1173,"COX5A","9377",652.333333333333,"COX5A","9377",575,"COX5A"
"ENSG00000023445",1.43288014524629,"9.66435802341135e-45",7.28566538121432e-42,"BIRC3","330",6877,"BIRC3","330",3364.28571428571,"BIRC3","330",4238,"BIRC3"
"ENSG00000173041",1.62099247634791,"1.94869613172565e-44",1.40785175949962e-41,"ZNF680","340252",2993,"ZNF680","340252",1410.2,"ZNF680","340252",769,"ZNF680"
"ENSG00000151135",-1.91938921364028,"2.19969021192495e-44",1.52561714338267e-41,"TMEM263","90488",3349,"TMEM263","90488",1607.14285714286,"TMEM263","90488",925,"TMEM263"
"ENSG00000138623",1.65390648701041,"1.17930152833552e-43",7.86458046146522e-41,"SEMA7A","8482",3376,"SEMA7A","8482",2172.25,"SEMA7A","8482",2420,"SEMA7A"
"ENSG00000204248",1.8523236456424,"8.17842318660318e-43",5.25206220861157e-40,"COL11A2","1302",6425,"COL11A2","1302",3668.80487804878,"COL11A2","1302",2099,"COL11A2"
"ENSG00000117009",-2.86017000274091,"2.45469472706227e-42",1.52006970973331e-39,"KMO","8564",5017,"KMO","8564",1611.9,"KMO","8564",691.5,"KMO"
"ENSG00000138771",-1.47624719283579,"5.87772007920892e-42",3.51426856735874e-39,"SHROOM3","57619",10891,"SHROOM3","57619",2704.33333333333,"SHROOM3","57619",764,"SHROOM3"
"ENSG00000100934",-1.94933009164713,"7.93883184349058e-42",4.58838017780944e-39,"SEC23A","10484",4215,"SEC23A","10484",1385,"SEC23A","10484",575,"SEC23A"
"ENSG00000160131",-1.99861472281173,"2.10350598426853e-40",1.17653839552362e-37,"VMA21","203547",4715,"VMA21","203547",1964.33333333333,"VMA21","203547",693,"VMA21"
"ENSG00000082497",-2.38118443052531,"1.42026478257385e-39",7.63755136537498e-37,"SERTAD4","56256",5222,"SERTAD4","56256",1799.25,"SERTAD4","56256",798.5,"SERTAD4"
"ENSG00000127125",-2.64558852407019,"1.45359706475215e-39",7.63755136537498e-37,"PPCS","79717",2269,"PPCS","79717",983.3,"PPCS","79717",785.5,"PPCS"
"ENSG00000112697",-1.76328800583654,"3.87126340100008e-39",1.97423047382178e-36,"TMEM30A","55754",4658,"TMEM30A","55754",3423,"TMEM30A","55754",4105,"TMEM30A"
"ENSG00000175899",-2.13281460054829,"1.0065683294074e-38",4.98653950388428e-36,"A2M","2",4610,"A2M","2",891.692307692308,"A2M","2",590,"A2M"
"ENSG00000139645",1.53724428683073,"1.26842100801743e-38",6.1092088494484e-36,"ANKRD52","283373",8681,"ANKRD52","283373",2040.625,"ANKRD52","283373",1010.5,"ANKRD52"
"ENSG00000188643",-1.79274222633196,"1.67737939424224e-38",7.86056251804492e-36,"S100A16","140576",1172,"S100A16","140576",972,"S100A16","140576",956,"S100A16"
"ENSG00000153904",-1.73423727444057,"1.15379632581108e-37",5.26465118243112e-35,"DDAH1","23576",4022,"DDAH1","23576",2062.83333333333,"DDAH1","23576",1724,"DDAH1"
"ENSG00000117155",-1.49290731270168,"2.77870862549489e-37",1.23538535531938e-34,"SSX2IP","117178",5843,"SSX2IP","117178",2345,"SSX2IP","117178",2024.5,"SSX2IP"
"ENSG00000168077",1.81809141724198,"3.09592336256072e-37",1.34200537958601e-34,"SCARA3","51435",3787,"SCARA3","51435",2848.5,"SCARA3","51435",2848.5,"SCARA3"
"ENSG00000164308",-1.46839241449624,"3.47450140656175e-37",1.46937511922864e-34,"ERAP2","64167",5208,"ERAP2","64167",2049.36363636364,"ERAP2","64167",1275,"ERAP2"
"ENSG00000121989",2.03848189026941,"3.81535887686852e-37",1.57510732300056e-34,"ACVR2A","92",5214,"ACVR2A","92",2237.14285714286,"ACVR2A","92",993,"ACVR2A"
"ENSG00000166575",-2.33433960103922,"9.34823844577648e-37",3.7695141025888e-34,"TMEM135","65084",8980,"TMEM135","65084",2119.66666666667,"TMEM135","65084",1146,"TMEM135"
"ENSG00000122861",-2.50089552860472,"4.66416895078946e-36",1.83800057813042e-33,"PLAU","5328",2658,"PLAU","5328",1275.8,"PLAU","5328",750,"PLAU"
"ENSG00000162688",-1.95908836165538,"5.50305481211706e-36",2.12038816416217e-33,"AGL","178",7446,"AGL","178",6346.5,"AGL","178",7136,"AGL"
"ENSG00000221926",1.38181727527258,"3.20825285557315e-35",1.20930209266919e-32,"TRIM16","10626",3358,"TRIM16","10626",1064.07692307692,"TRIM16","10626",574,"TRIM16"
"ENSG00000105855",-1.83720420240858,"4.32871659814932e-35",1.59692802330449e-32,"ITGB8","3696",8974,"ITGB8","3696",4222.2,"ITGB8","3696",3420,"ITGB8"
"ENSG00000137713",1.31981682942046,"1.29836299490032e-34",4.69006582678681e-32,"PPP2R1B","5519",5553,"PPP2R1B","5519",1517.16666666667,"PPP2R1B","5519",1199.5,"PPP2R1B"
"ENSG00000135480",-1.7806895121296,"1.82056078238466e-34",6.44218436852401e-32,"KRT7","3855",1625,"KRT7","3855",657,"KRT7","3855",586,"KRT7"
"ENSG00000161638",1.44568653954998,"2.12238908055187e-34",7.36002085353776e-32,"ITGA5","3678",4996,"ITGA5","3678",1328.38461538462,"ITGA5","3678",588,"ITGA5"
"ENSG00000073712",1.4372899002761,"2.55354210973024e-34",8.68154247855148e-32,"FERMT2","10979",3369,"FERMT2","10979",1856.07142857143,"FERMT2","10979",2073,"FERMT2"
"ENSG00000204262",-1.64962460855175,"4.25862074832388e-34",1.42000432990746e-31,"COL5A2","1290",6829,"COL5A2","1290",3697,"COL5A2","1290",3627.5,"COL5A2"
"ENSG00000004779",-2.61155896370529,"4.76551811918747e-34",1.55904374846399e-31,"NDUFAB1","4706",885,"NDUFAB1","4706",683.2,"NDUFAB1","4706",665,"NDUFAB1"
"ENSG00000138459",-1.99279089874632,"8.52063363237287e-34",2.73591234355025e-31,"SLC35A5","55032",4366,"SLC35A5","55032",1532.14285714286,"SLC35A5","55032",840,"SLC35A5"
"ENSG00000152332",-1.63995847046538,"4.49773756515775e-33",1.41793221167764e-30,"UHMK1","127933",8524,"UHMK1","127933",7108,"UHMK1","127933",8281.5,"UHMK1"
"ENSG00000182628",-1.2885128165136,"5.2261982070359e-33",1.61816161985349e-30,"SKA2","348235",2809,"SKA2","348235",821.6,"SKA2","348235",610,"SKA2"
"ENSG00000102753",-1.59218516354301,"8.49272936141903e-33",2.58342867364289e-30,"KPNA3","3839",4222,"KPNA3","3839",2405,"KPNA3","3839",2405,"KPNA3"
"ENSG00000084444",1.65671548881907,"1.15294080290668e-32",3.4466966519998e-30,"FAM234B","57613",4711,"FAM234B","57613",2008,"FAM234B","57613",1798.5,"FAM234B"
"ENSG00000055208",-1.8289383470159,"3.62377376982884e-32",1.06495954906885e-29,"TAB2","23118",4553,"TAB2","23118",1894.57142857143,"TAB2","23118",1412.5,"TAB2"
"ENSG00000092969",-1.60835690034979,"5.12881687913011e-32",1.48214259778728e-29,"TGFB2","7042",5868,"TGFB2","7042",3208.5,"TGFB2","7042",3280.5,"TGFB2"
"ENSG00000048392",1.2670945146209,"5.67373130998885e-32",1.61273487186716e-29,"RRM2B","50484",4774,"RRM2B","50484",1069.4,"RRM2B","50484",588,"RRM2B"
"ENSG00000108960",-2.21264287283114,"1.09308832427945e-31",3.05694491204538e-29,"MMD","23531",2641,"MMD","23531",1612.5,"MMD","23531",1619.5,"MMD"
"ENSG00000164880",-1.57503535023387,"1.50511328646537e-31",4.14240623397191e-29,"INTS1","26173",6981,"INTS1","26173",1635.625,"INTS1","26173",586.5,"INTS1"
"ENSG00000107130",-1.65571818083415,"3.26030971737754e-31",8.83289221712643e-29,"NCS1","23413",5164,"NCS1","23413",2162.66666666667,"NCS1","23413",1092,"NCS1"
"ENSG00000206418",-1.5603273416186,"4.11565789911612e-31",1.09786757404268e-28,"RAB12","201475",2147,"RAB12","201475",1325.5,"RAB12","201475",1325.5,"RAB12"
"ENSG00000100027",1.07017100722892,"7.37318694199826e-31",1.93702558162588e-28,"YPEL1","29799",4297,"YPEL1","29799",1636.75,"YPEL1","29799",892.5,"YPEL1"
"ENSG00000149257",1.24596785483375,"8.70165853620481e-31",2.25191130386948e-28,"SERPINH1","871",3523,"SERPINH1","871",1470.46666666667,"SERPINH1","871",998,"SERPINH1"
"ENSG00000139291",-1.32075388325628,"1.22380092009262e-30",3.12051237551263e-28,"TMEM19","55266",5662,"TMEM19","55266",1525.42857142857,"TMEM19","55266",739,"TMEM19"
"ENSG00000103342",-1.30854585076913,"1.66546352371336e-30",4.18514087502406e-28,"GSPT1","2935",7141,"GSPT1","2935",1800.5,"GSPT1","2935",1196.5,"GSPT1"
"ENSG00000116191",-1.49176207020887,"5.7350782368707e-30",1.42057887927287e-27,"RALGPS2","55103",7492,"RALGPS2","55103",2514.625,"RALGPS2","55103",795,"RALGPS2"
"ENSG00000128510",-1.56673508386316,"6.40712186228681e-30",1.56469135169283e-27,"CPA4","51200",2790,"CPA4","51200",1083.63636363636,"CPA4","51200",568,"CPA4"
"ENSG00000165891",1.23285481123183,"1.24915604080195e-29",3.00821063770346e-27,"E2F7","144455",5725,"E2F7","144455",2413.42857142857,"E2F7","144455",1464,"E2F7"
"ENSG00000112769",-2.72813832361347,"2.76264329457287e-29",6.56184549104097e-27,"LAMA4","3910",7228,"LAMA4","3910",1898.875,"LAMA4","3910",683,"LAMA4"
"ENSG00000132819",-1.64599330767511,"3.0562609668009e-29",7.16114985180551e-27,"RBM38","55544",2393,"RBM38","55544",1376.8,"RBM38","55544",852,"RBM38"
"ENSG00000179776",1.42152161258142,"3.37798883308222e-29",7.80945978357501e-27,"CDH5","1003",4126,"CDH5","1003",1948.75,"CDH5","1003",1802,"CDH5"
"ENSG00000180628",-1.55146710152051,"6.87794766373618e-29",1.56916755975686e-26,"PCGF5","84333",7149,"PCGF5","84333",4622.8,"PCGF5","84333",7037,"PCGF5"
"ENSG00000112186",1.36318730863905,"8.44681242620607e-29",1.90206857997386e-26,"CAP2","10486",2925,"CAP2","10486",1528.71428571429,"CAP2","10486",1404,"CAP2"
"ENSG00000102931",-1.85350942480999,"9.93014244316756e-29",2.20741974130875e-26,"ARL2BP","23568",1969,"ARL2BP","23568",1041.5,"ARL2BP","23568",981.5,"ARL2BP"
"ENSG00000175193",-1.77523415372038,"1.57546409225261e-28",3.45784454374278e-26,"PARL","55486",1545,"PARL","55486",1027.23076923077,"PARL","55486",1098,"PARL"
"ENSG00000139921",-1.46866016572862,"1.98940514764186e-28",4.31178698187028e-26,"TMX1","81542",4025,"TMX1","81542",2361.66666666667,"TMX1","81542",2117,"TMX1"
"ENSG00000156675",-1.59971271640343,"2.0424488108234e-28",4.32816130608824e-26,"RAB11FIP1","80223",8185,"RAB11FIP1","80223",3945,"RAB11FIP1","80223",2703.5,"RAB11FIP1"
"ENSG00000100242",1.19668554572215,"2.04688405962994e-28",4.32816130608824e-26,"SUN2","25777",5286,"SUN2","25777",1779.73684210526,"SUN2","25777",914,"SUN2"
"ENSG00000067900",-1.5144714537879,"2.13697330042927e-28",4.46421446459557e-26,"ROCK1","6093",10996,"ROCK1","6093",3335.57142857143,"ROCK1","6093",616,"ROCK1"
"ENSG00000036549",-1.47760754040279,"4.37160930388765e-28",9.02373020477475e-26,"ZZZ3","26009",6412,"ZZZ3","26009",2025,"ZZZ3","26009",686,"ZZZ3"
"ENSG00000139636",2.16834200054434,"4.59043578676838e-28",9.36394895373847e-26,"LMBR1L","55716",2800,"LMBR1L","55716",974.433333333333,"LMBR1L","55716",583.5,"LMBR1L"
"ENSG00000168438",-1.79607079590296,"1.11714329700265e-27",2.23771395542559e-25,"CDC40","51362",3933,"CDC40","51362",2307.83333333333,"CDC40","51362",2674.5,"CDC40"
"ENSG00000196182",1.29267024023712,"1.12279320677102e-27",2.23771395542559e-25,"STK40","83931",4837,"STK40","83931",2334.625,"STK40","83931",2264,"STK40"
"ENSG00000188419",-1.23102700600381,"2.7955141510846e-27",5.50811589382454e-25,"CHM","1121",5438,"CHM","1121",2257.2,"CHM","1121",2040,"CHM"
"ENSG00000054793",-1.72236997215266,"3.00989633371012e-27",5.86388680114604e-25,"ATP9A","10079",7862,"ATP9A","10079",5256.33333333333,"ATP9A","10079",7437,"ATP9A"
"ENSG00000241322",1.47255113142244,"4.70189542397274e-27",9.05846275069593e-25,"FBXW10B","374286",7540,"FBXW10B","374286",2543.5,"FBXW10B","374286",1229.5,"FBXW10B"
"ENSG00000124635",3.64742965931297,"5.28041404344249e-27",1.00612196812362e-24,"H2BC11","8970",480,"H2BC11","8970",480,"H2BC11","8970",480,"H2BC11"
"ENSG00000164379",-2.82286125191125,"5.36938239358956e-27",1.01195349263532e-24,"FOXQ1","94234",2661,"FOXQ1","94234",2661,"FOXQ1","94234",2661,"FOXQ1"
"ENSG00000235162",-2.06899367167323,"5.46936399782714e-27",1.01971292858414e-24,"C12orf75","387882",1329,"C12orf75","387882",849.5,"C12orf75","387882",785,"C12orf75"
"ENSG00000131374",-1.61181382182929,"5.96118621400706e-27",1.09958518898584e-24,"TBC1D5","9779",7854,"TBC1D5","9779",1277.25806451613,"TBC1D5","9779",591,"TBC1D5"
"ENSG00000130707",-1.50211874798159,"7.12550419372701e-27",1.30051702331613e-24,"ASS1","445",1973,"ASS1","445",943.5,"ASS1","445",677,"ASS1"
"ENSG00000177706",-1.69962809190103,"1.17317650284873e-26",2.11892785238481e-24,"FAM20C","56975",3176,"FAM20C","56975",1294.84615384615,"FAM20C","56975",1015,"FAM20C"
"ENSG00000105849",-1.62755838383824,"1.21666748663471e-26",2.17482448976899e-24,"POLR1F","221830",3893,"POLR1F","221830",2160,"POLR1F","221830",2160,"POLR1F"
"ENSG00000090339",-1.66463338217959,"1.79618579038769e-26",3.17796585913593e-24,"ICAM1","3383",2967,"ICAM1","3383",1353.75,"ICAM1","3383",938.5,"ICAM1"
"ENSG00000156504",-1.35914879271049,"2.04005952765977e-26",3.57298910606998e-24,"PABIR2","159090",4377,"PABIR2","159090",2040.375,"PABIR2","159090",1229.5,"PABIR2"
"ENSG00000072274",-1.4113698167988,"4.61834074924833e-26",8.00774102512168e-24,"TFRC","7037",6872,"TFRC","7037",3941.94736842105,"TFRC","7037",4706.5,"TFRC"
"ENSG00000149948",1.15342588418878,"6.80308256899299e-26",1.16790741251257e-23,"HMGA2","8091",8094,"HMGA2","8091",2243.63636363636,"HMGA2","8091",1529,"HMGA2"
"ENSG00000128833",-1.63195450244341,"8.46874238184573e-26",1.43960317802768e-23,"MYO5C","55930",6977,"MYO5C","55930",2652.33333333333,"MYO5C","55930",2129,"MYO5C"
"ENSG00000166477",-1.75598988709422,"1.13234948484037e-25",1.90619492404342e-23,"LEO1","123169",2165,"LEO1","123169",1592,"LEO1","123169",1981,"LEO1"
"ENSG00000135049",-1.80537196297866,"1.44800106226369e-25",2.41412407871058e-23,"AGTPBP1","23287",4473,"AGTPBP1","23287",1717.28571428571,"AGTPBP1","23287",1019,"AGTPBP1"
"ENSG00000152558",-1.43297339917955,"1.64052459688834e-25",2.70905295099495e-23,"TMEM123","114908",3321,"TMEM123","114908",1258.75,"TMEM123","114908",568,"TMEM123"
"ENSG00000120875",-2.03201522742161,"1.68940234252295e-25",2.76344785066089e-23,"DUSP4","1846",5553,"DUSP4","1846",4256,"DUSP4","1846",4256,"DUSP4"
"ENSG00000189060",1.15087387235777,"2.88473090933826e-25",4.67461207822581e-23,"H1-0","3005",2204,"H1-0","3005",2204,"H1-0","3005",2204,"H1-0"
"ENSG00000143819",-1.8510609962324,"7.30040900882274e-25",1.16167553452764e-22,"EPHX1","2052",1789,"EPHX1","2052",1310.8,"EPHX1","2052",1635,"EPHX1"
"ENSG00000145779",-1.77278504168356,"7.30276447681599e-25",1.16167553452764e-22,"TNFAIP8","25816",6976,"TNFAIP8","25816",2128.57142857143,"TNFAIP8","25816",1385,"TNFAIP8"
"ENSG00000113140",1.27884831363735,"8.0786566361233e-25",1.2734166128522e-22,"SPARC","6678",3451,"SPARC","6678",979.888888888889,"SPARC","6678",576,"SPARC"
"ENSG00000135318",-1.39372343051448,"9.62837176079087e-25",1.50402106270588e-22,"NT5E","4907",3918,"NT5E","4907",1976.2,"NT5E","4907",974,"NT5E"
"ENSG00000162105",-2.25413348084374,"2.71120198334343e-24",4.19727957046355e-22,"SHANK2","22941",10830,"SHANK2","22941",3025.47619047619,"SHANK2","22941",854,"SHANK2"
"ENSG00000141068",1.07212119135793,"3.02503494376803e-24",4.64168857433574e-22,"KSR1","8844",7237,"KSR1","8844",1901.73684210526,"KSR1","8844",748,"KSR1"
"ENSG00000148572",-1.72890735772978,"3.1433766670924e-24",4.7809656167294e-22,"NRBF2","29982",1816,"NRBF2","29982",1814.5,"NRBF2","29982",1814.5,"NRBF2"
"ENSG00000092148",-1.37816387351053,"5.90472604839135e-24",8.90278651765718e-22,"HECTD1","25831",9445,"HECTD1","25831",4152.4,"HECTD1","25831",3280,"HECTD1"
"ENSG00000165304",-1.34887681035394,"6.26440642525608e-24",9.36366750064785e-22,"MELK","9833",2452,"MELK","9833",1722.5,"MELK","9833",2180.5,"MELK"
"ENSG00000134905",-1.63386091298204,"7.33878895145628e-24",1.08758343272906e-21,"CARS2","79587",3516,"CARS2","79587",1049.87878787879,"CARS2","79587",739,"CARS2"
"ENSG00000149084",-1.52333322689593,"8.08724861539174e-24",1.18834579442608e-21,"HSD17B12","51144",4292,"HSD17B12","51144",999.421052631579,"HSD17B12","51144",583,"HSD17B12"
"ENSG00000198721",-1.92098746116336,"1.23609447720644e-23",1.78658813963091e-21,"ECI2","10455",3870,"ECI2","10455",1556.18181818182,"ECI2","10455",1405,"ECI2"
"ENSG00000130811",-1.52947849607289,"1.23646448327879e-23",1.78658813963091e-21,"EIF3G","8666",1522,"EIF3G","8666",762.866666666667,"EIF3G","8666",709,"EIF3G"
"ENSG00000180998",1.25998120294637,"2.03860463238159e-23",2.92126989428632e-21,"GPR137C","283554",5410,"GPR137C","283554",3257.75,"GPR137C","283554",3504,"GPR137C"
"ENSG00000104375",-1.63319802914198,"2.43747182833831e-23",3.46420688783261e-21,"STK3","6788",5333,"STK3","6788",1270.55,"STK3","6788",645.5,"STK3"
"ENSG00000197635",-2.4144476921441,"3.48566583032611e-23",4.91365527089629e-21,"DPP4","1803",8539,"DPP4","1803",3183.82608695652,"DPP4","1803",3391,"DPP4"
"ENSG00000122958",-1.31848610197242,"4.81647495360254e-23",6.73490800165439e-21,"VPS26A","9559",4227,"VPS26A","9559",1571.22222222222,"VPS26A","9559",817,"VPS26A"
"ENSG00000164307",-1.59519996113211,"6.41781441290717e-23",8.90227872843179e-21,"ERAP1","51752",5495,"ERAP1","51752",1432.90909090909,"ERAP1","51752",1223,"ERAP1"
"ENSG00000050748",-1.5167136997714,"8.74589985778277e-23",1.19666994879653e-20,"MAPK9","5601",4799,"MAPK9","5601",2307.30769230769,"MAPK9","5601",1668,"MAPK9"
"ENSG00000166448",2.06040035075511,"8.76504316841569e-23",1.19666994879653e-20,"TMEM130","222865",3891,"TMEM130","222865",1977,"TMEM130","222865",2261,"TMEM130"
"ENSG00000144320",-1.2267123734102,"9.63629133063176e-23",1.3053410576705e-20,"LNPK","80856",7647,"LNPK","80856",1823.33333333333,"LNPK","80856",548,"LNPK"
"ENSG00000105137",1.60174260371416,"1.27223235755504e-22",1.7100183602827e-20,"SYDE1","85360",3832,"SYDE1","85360",2250.4,"SYDE1","85360",3058,"SYDE1"
"ENSG00000101935",-1.4557103179564,"1.31367054375129e-22",1.75213335062335e-20,"AMMECR1","9949",5424,"AMMECR1","9949",2588.44444444444,"AMMECR1","9949",3052,"AMMECR1"
"ENSG00000198919",1.03285786610115,"2.12233649395983e-22",2.80909866173812e-20,"DZIP3","9666",5304,"DZIP3","9666",3011.83333333333,"DZIP3","9666",3161,"DZIP3"
"ENSG00000172661",-1.52653141186924,"2.80093395033989e-22",3.6791964973442e-20,"WASHC2C","253725",4642,"WASHC2C","253725",2894.11111111111,"WASHC2C","253725",4040,"WASHC2C"
"ENSG00000128951",-1.52327026181366,"3.42591403686575e-22",4.46631003648235e-20,"DUT","1854",2141,"DUT","1854",959.363636363636,"DUT","1854",724,"DUT"
"ENSG00000139514",-1.46482126450754,"3.5444272711748e-22",4.58633018320149e-20,"SLC7A1","6541",7343,"SLC7A1","6541",2872,"SLC7A1","6541",726,"SLC7A1"
"ENSG00000117569",1.3478806800348,"6.00952181339404e-22",7.71845175721772e-20,"PTBP2","58155",12014,"PTBP2","58155",2725.83333333333,"PTBP2","58155",2277.5,"PTBP2"
"ENSG00000143515",1.11477596088501,"6.84965517547395e-22",8.73280669761344e-20,"ATP8B2","57198",5974,"ATP8B2","57198",2699.875,"ATP8B2","57198",1820.5,"ATP8B2"
"ENSG00000166483",1.18699625220095,"7.35506146175453e-22",9.30871610842058e-20,"WEE1","7465",5187,"WEE1","7465",2362.1,"WEE1","7465",2632.5,"WEE1"
"ENSG00000152056",-2.27485523553613,"9.40756419294455e-22",1.18201272131497e-19,"AP1S3","130340",3986,"AP1S3","130340",1693.05263157895,"AP1S3","130340",1750,"AP1S3"
"ENSG00000165650",-1.48893021655793,"1.10722392629934e-21",1.38116227756146e-19,"PDZD8","118987",9672,"PDZD8","118987",3025.25,"PDZD8","118987",1070,"PDZD8"
"ENSG00000197008",1.09168198681475,"1.34628559654979e-21",1.66737471132692e-19,"ZNF138","7697",2679,"ZNF138","7697",2039.71428571429,"ZNF138","7697",2308,"ZNF138"
"ENSG00000188493",1.26343955366019,"1.39850745621806e-21",1.71976743144433e-19,"ACTMAP","284325",3302,"ACTMAP","284325",1291.77777777778,"ACTMAP","284325",947,"ACTMAP"
"ENSG00000049130",-1.36264991420521,"1.49771997404725e-21",1.82880046690178e-19,"KITLG","4254",5737,"KITLG","4254",3542.83333333333,"KITLG","4254",4479.5,"KITLG"
"ENSG00000168143",-1.91779985712858,"1.72436169487653e-21",2.09081870122126e-19,"FAM83B","222584",6244,"FAM83B","222584",6244,"FAM83B","222584",6244,"FAM83B"
"ENSG00000081087",1.05667832254405,"1.85399403137177e-21",2.23238906319133e-19,"OSTM1","28962",5024,"OSTM1","28962",4169.84210526316,"OSTM1","28962",4471,"OSTM1"
"ENSG00000125968",-1.99076059556807,"2.9282830594745e-21",3.50162068746403e-19,"ID1","3397",1233,"ID1","3397",1108,"ID1","3397",1108,"ID1"
"ENSG00000135828",1.13062872213158,"3.58563581016923e-21",4.25831091181673e-19,"RNASEL","6041",4238,"RNASEL","6041",4142,"RNASEL","6041",4142,"RNASEL"
"ENSG00000183853",-1.38271347382824,"3.74953073463244e-21",4.42266077604027e-19,"KIRREL1","55243",7519,"KIRREL1","55243",6345.75,"KIRREL1","55243",7280,"KIRREL1"
"ENSG00000166825",-1.61656020197582,"5.38703811522594e-21",6.31120634323666e-19,"ANPEP","290",3843,"ANPEP","290",1900,"ANPEP","290",907,"ANPEP"
"ENSG00000131724",-1.26121740615592,"5.83172437311011e-21",6.78632677217156e-19,"IL13RA1","3597",4189,"IL13RA1","3597",2476,"IL13RA1","3597",2546,"IL13RA1"
"ENSG00000173890",-1.72210440450393,"6.09720521937089e-21",7.04796275324479e-19,"GPR160","26996",1962,"GPR160","26996",885.888888888889,"GPR160","26996",740,"GPR160"
